z[um],ACR,ACR fit,tau_diff,dtau_diff,tau_diff fit,N,dN,N fit
2079.57,6385.02094286869,7677.60686651823,0.0140954187414476,0.0013384311540383,0.00515002147642943,11.298884943003992,0.2278870423264103,4.398063924858209
2079.82,10782.765922551,10693.692591797299,0.0074346955178166,0.0002942347462857,0.00338673235139495,5.07370283348558,0.043889930916132,2.892233643294875
2080.07,16590.1400928386,15524.562761037861,0.001890263117291,4.123159594889128e-05,0.0021505670675745735,1.7606744196492456,0.0113987245857505,1.8365615524472352
2080.32,21289.3858972466,21610.90633963961,0.0013075741653689,2.0291973276411527e-05,0.0014415256249683019,1.182914004774314,0.0049791564295178,1.2310476523152898
2080.57,24379.9219207697,24136.101660165965,0.0014025723715022,2.458140329736514e-05,0.0012596080235761358,1.1326954899450556,0.0055185349825669,1.075691942899039
2080.82,19553.3606239926,19781.66413884036,0.0019597178894238,2.8806469799384116e-05,0.0016048142633980748,1.3888542052569957,0.0048489982536579,1.3704944241984827
2081.07,13083.2179240086,13812.121000137107,0.0021778867065438,4.6386895101718616e-05,0.002477144344434119,1.994119369493196,0.0094142197098764,2.115455096213621
2081.32,7368.60095791812,9593.022178077481,0.0025349274981172,8.808024381122574e-05,0.003876598266684268,2.5169682553226664,0.0220969427160549,3.310573958944454
2081.57,5393.72141307401,7011.29025107523,0.0035335665813926,0.0001215329710513,0.005803176030148523,3.3958317852955013,0.0399689551260654,4.955851012390982
2081.82,3561.76477662874,5429.462318900919,0.0055815571907873,0.0003122247588268,0.008256877634826881,5.446609419275742,0.0965623819400566,7.051286256553204
2082.07,2344.10558678498,4422.132452901279,0.0124156300668026,0.0013831231526776,0.011237703080719344,9.975074883445316,0.3402991136057966,9.59687969143112
2082.32,1565.23362121818,3751.8920570067357,0.018584835265643,0.0066176954179107,0.014745652367825917,27.618155735966383,2.831739169700067,12.592631317024733
