tau_D,dtau_D,N,dN,D,dD,offset,doffset,cpp_peak,cpp_average,count_rate,psf_radius,chi_squared,BIC,Filename
0.005046511021737474,0.00028529622709096115,5.496437152858926,0.07197962125196543,4.166244740066229,0.2355318160128038,0.00674748666405464,0.0008632582257075357,2174.2734776405864,1087.1367388202932,11950.7575229795,0.29,0.39222520645132924,-1216.5240523703912,../Data/20240501_104521zScanFCS_22a6cfdf448dc03f61c990bfe39fa654_R1_P4_K1_ap_corr_ch2ch2
0.005507267887624332,0.00018020355992069692,4.01281510794152,0.04507220865262691,3.8176824568941647,0.12491855915073091,0.0034376835618828965,0.0005407206316563554,1120.4685492118604,560.2342746059302,4496.23312225067,0.29,1.217249790825897,-992.286450226087,../Data/20240501_104521zScanFCS_22a6cfdf448dc03f61c990bfe39fa654_R1_P33_K1_ap_corr_ch2ch2
0.0014288760850127075,0.0018666954345421306,30.311168827303955,23.431615614269944,14.7143620223814,19.22296320687262,0.005710611414207296,0.00046997100513645524,28.716544038559732,14.358272019279866,870.432014489493,0.29,1.085934402334549,-1014.888789282686,../Data/20240501_104521zScanFCS_22a6cfdf448dc03f61c990bfe39fa654_R1_P47_K1_ap_corr_ch2ch2
0.01858483526564309,0.006617695417910744,27.618155735966386,2.831739169700067,1.1312987013055709,0.4028332844982683,0.005554051250436201,0.0009971993956903523,56.674081940229556,28.337040970114778,1565.23362121818,0.29,1.1385811107253467,-1005.5150671835066,../Data/20240501_104521zScanFCS_22a6cfdf448dc03f61c990bfe39fa654_R1_P24_K1_ap_corr_ch2ch2
0.02099931141354501,0.0026939544947376737,11.279035826335823,0.3972569595547651,1.0012233061336677,0.12844468909847792,0.00686825113083068,0.0010292172092970415,189.99490800954703,94.99745400477352,2142.95937426106,0.29,1.1413000366534578,-1005.0428078382305,../Data/20240501_104521zScanFCS_22a6cfdf448dc03f61c990bfe39fa654_R1_P35_K1_ap_corr_ch2ch2
0.0017868280333727547,2.6478752482739655e-05,1.099072739327955,0.003940422750055523,11.76666114887057,0.17436849114187597,0.00907763023923399,0.0009356631682645113,14630.353191211763,7315.176595605882,16079.8223592006,0.29,0.6417885196330125,-1119.0243657550634,../Data/20240501_104521zScanFCS_22a6cfdf448dc03f61c990bfe39fa654_R1_P39_K1_ap_corr_ch2ch2
0.009386301860429963,0.0029034446355732275,15.989962513155824,1.659344001982342,2.239966316088293,0.6928839793368168,0.0020333277258946132,0.0011373496538885281,73.57834688116412,36.78917344058206,1176.51500840979,0.29,1.404781823874794,-963.9154339500328,../Data/20240501_104521zScanFCS_22a6cfdf448dc03f61c990bfe39fa654_R1_P46_K1_ap_corr_ch2ch2
0.004165847853663611,0.00012282700135796712,2.3271808960164604,0.019817363175802995,5.046991810204923,0.14880689158643146,-0.001394212342966243,0.0007561047196799971,2524.351303243853,1262.1756516219266,5874.62212774335,0.29,1.190409051458206,-996.7012672071305,../Data/20240501_104521zScanFCS_22a6cfdf448dc03f61c990bfe39fa654_R1_P32_K1_ap_corr_ch2ch2
0.014095418741447669,0.001338431154038306,11.298884943003992,0.22788704232641033,1.491619396745969,0.1416367904489502,0.003865545986787589,0.0008176850075148406,565.1018640403227,282.5509320201613,6385.02094286869,0.29,0.9332639689352281,-1044.887375248284,../Data/20240501_104521zScanFCS_22a6cfdf448dc03f61c990bfe39fa654_R1_P13_K1_ap_corr_ch2ch2
0.0019597178894238854,2.8806469799384113e-05,1.3888542052569957,0.0048489982536579984,10.7285850241337,0.1577026275851811,-0.0012544626322058008,0.0007274480694915728,14078.771227376179,7039.3856136880895,19553.3606239926,0.29,0.528045362226903,-1157.649541945656,../Data/20240501_104521zScanFCS_22a6cfdf448dc03f61c990bfe39fa654_R1_P18_K1_ap_corr_ch2ch2
0.0026768583524041296,0.00012886727343895235,2.4632952295251314,0.029565992501134664,7.854356574794893,0.3781184445198906,0.008891545994144885,0.0013448072157026556,3315.7932867312156,1657.8966433656078,8167.77778529646,0.29,0.36457640297842764,-1230.9978605336796,../Data/20240501_104521zScanFCS_22a6cfdf448dc03f61c990bfe39fa654_R1_P9_K1_ap_corr_ch2ch2
0.0014341686778187662,2.7520339041255578e-05,0.9423606100108906,0.004406036498533799,14.660060790043902,0.28131268626019224,0.0020760363229935246,0.0011141764203715424,23434.087964602837,11717.043982301419,22083.361429372,0.29,0.1721967574978223,-1379.5173393568696,../Data/20240501_104521zScanFCS_22a6cfdf448dc03f61c990bfe39fa654_R1_P28_K1_ap_corr_ch2ch2
0.002177886706543874,4.6386895101718616e-05,1.9941193694931956,0.009414219709876416,9.653853865229259,0.2056178153014908,0.001217553549970614,0.0006531533600225947,6560.900076575503,3280.4500382877513,13083.2179240086,0.29,0.4799819572371585,-1176.5454104308708,../Data/20240501_104521zScanFCS_22a6cfdf448dc03f61c990bfe39fa654_R1_P19_K1_ap_corr_ch2ch2
0.0014293907855238016,2.4107791397585734e-05,1.1715125206280397,0.005071961386128953,14.709063618522885,0.2480798399992642,0.004000477263370609,0.0010920802170537656,19384.936478589654,9692.468239294827,22709.695796247,0.29,0.2998513955174213,-1269.696789500118,../Data/20240501_104521zScanFCS_22a6cfdf448dc03f61c990bfe39fa654_R1_P6_K1_ap_corr_ch2ch2
0.003822333964925913,0.0001606059652621773,2.571588916878965,0.03223678759190118,5.500565935087653,0.231121537154885,0.000387144756844589,0.0008314313356408416,1913.2398478630437,956.6199239315218,4920.0663880958,0.29,0.638370110202835,-1120.0818076379012,../Data/20240501_104521zScanFCS_22a6cfdf448dc03f61c990bfe39fa654_R1_P42_K1_ap_corr_ch2ch2
