z[um],ACR,ACR fit,tau_diff,dtau_diff,tau_diff fit,N,dN,N fit
2079.58,11667.2100726914,9793.658579415516,0.0055973450190177,0.0001579857202555,0.0032143627925409596,3.7990095265178234,0.0300473576394191,2.1524604298114314
2079.83,17078.1318611787,14371.67387011693,0.0021695846343404,3.893426535526213e-05,0.002194599364825971,1.689297919278865,0.007124546897,1.4695877836313058
2080.08,20644.4873665221,19997.054783583142,0.0014531323169374,2.0152076542019623e-05,0.001580903704188243,0.988501286822059,0.0029796595316335,1.0586336659022748
2080.33,22083.361429372,23049.42593922238,0.0014341686778187,2.7520339041255575e-05,0.0013732758106277747,0.9423606100108906,0.0044060364985337,0.9195980766243379
2080.58,20016.5558461908,20114.932589837554,0.0016207791207234,2.328117063112849e-05,0.0015717156841445667,1.0777327300851007,0.0035217793730177,1.052481015797495
2080.83,13385.4406917397,14493.75986245426,0.0023939977971119,5.2364815696734186e-05,0.0021762233247386194,1.4811573116479666,0.0071889320668255,1.4572824834217468
2081.08,8922.04873733936,9878.716381957587,0.0030944001772262,6.716418889976395e-05,0.003186798732409932,2.143027343251439,0.0131529405532714,2.134002479497093
2081.33,5874.62212774335,6830.04774377563,0.0041658478536636,0.0001228270013579,0.004603441907158504,2.3271808960164604,0.0198173631758029,3.082641004023533
2081.58,4496.23312225067,4888.837305345661,0.0055072678876243,0.0001802035599206,0.006426152848984338,4.01281510794152,0.0450722086526269,4.303198057001067
2081.83,3050.9687126081,3627.986520869316,0.0088493913138933,0.0006167743207057,0.008654931557887432,5.840523813477197,0.100301098669358,5.7956736384296965
2082.08,2142.95937426106,2780.2957287087147,0.020999311413545,0.0026939544947376,0.011289778033867784,11.279035826335823,0.3972569595547651,7.560067748309419
2082.33,1368.59547842775,2189.791058829318,0.0297385864578107,0.0060588252075183,0.014330692276925398,14.59505250469601,0.7797741212656766,9.596380386640238
