tau,G,sigma G,cc Fit
1.01333333333333e-05,0.336310255481289,0.0203997994700206,0.3682740499524415
1.06666666666667e-05,0.360332177372416,0.025467770316679,0.36817214606526205
1.12e-05,0.388811770278129,0.0138616169834544,0.3680702985881368
1.17333333333333e-05,0.385840027411606,0.0304909964158546,0.3679685074742389
1.25333333333333e-05,0.370362061905673,0.0120028645211883,0.36781592638213767
1.36e-05,0.387821343542692,0.0136041115767096,0.3676126817611671
1.46666666666667e-05,0.389802604451477,0.0112014794761634,0.3674096617528383
1.57333333333333e-05,0.345225971136105,0.0101624277957154,0.3672068659850161
1.68e-05,0.36689527681972,0.0115549520539755,0.36700429408638696
1.78666666666667e-05,0.377420406766458,0.0136294064617668,0.3668019456864567
1.89333333333333e-05,0.385840526314491,0.0121866323543551,0.3665998204155483
2e-05,0.367886089233139,0.0209531698440722,0.36639791790479925
2.10666666666667e-05,0.337425403981471,0.0069220943066859,0.36619623778616023
2.21333333333333e-05,0.384478681552748,0.0166759013315418,0.3659947796923917
2.32e-05,0.376430180210545,0.0116257178171604,0.36579354325706254
2.42666666666667e-05,0.370115217372077,0.0186925569319177,0.36559252811454745
2.58666666666667e-05,0.363243081102768,0.0109551174340008,0.36529141952697314
2.8e-05,0.378225962371727,0.0087051077127533,0.36489071253676975
3.01333333333333e-05,0.35148006566261,0.0078137781907457,0.3644908841770165
3.22666666666667e-05,0.361881450154671,0.0151942421996162,0.36409193156101827
3.44e-05,0.367948986264272,0.0140677322273046,0.3636938518147111
3.65333333333333e-05,0.372097246768644,0.0137492637011077,0.36329664207659385
3.86666666666667e-05,0.372406953949252,0.0150884522586358,0.36290029949765923
4.08e-05,0.387513670127278,0.0114733178296524,0.3625048212413262
4.29333333333333e-05,0.358786567599766,0.0066186172182956,0.3621102044833717
4.50666666666667e-05,0.366773384333807,0.0118468697721118,0.3617164464118638
4.72e-05,0.352224165221202,0.0101243210790738,0.3613235442270946
4.93333333333333e-05,0.37216003711073,0.0137868251767646,0.3609314951415145
5.25333333333333e-05,0.365845211483472,0.0148718520530852,0.36034501500609983
5.68e-05,0.361573559630052,0.0112161761209789,0.3595660015357681
6.10666666666667e-05,0.356651827497068,0.0086514730431839,0.35879035089288047
6.53333333333333e-05,0.356528292422659,0.0145670012485556,0.35801804134946996
6.96e-05,0.359283677404824,0.0108126663400351,0.35724905136435275
7.38666666666667e-05,0.356436002799771,0.0116783017607417,0.3564833595811259
7.81333333333333e-05,0.356776809751486,0.0139639438166058,0.35572094482618954
8.24e-05,0.369066690756085,0.0132612698827731,0.3549617861067957
8.66666666666667e-05,0.358325196476606,0.0167332032421682,0.354205862609121
9.09333333333333e-05,0.358356442417194,0.0094083091334329,0.35345315369636515
9.52e-05,0.352784621631634,0.0088001874497938,0.3527036389068721
9.94666666666667e-05,0.357552161398175,0.0103821527678552,0.3519572979522768
0.0001058666666666,0.352491259350346,0.0087776626503437,0.3508436935015363
0.0001144,0.351516716130779,0.009336379874302,0.34936980964921366
0.0001229333333333,0.347585853761252,0.0105897565209777,0.34790826449313267
0.0001314666666666,0.346936347989721,0.0064976091869963,0.34645890373805427
0.00014,0.34124097467863,0.0101931548711096,0.34502157565067376
0.0001485333333333,0.349708081972119,0.0104646088474314,0.343596131006717
0.0001570666666666,0.342913757555112,0.0073354423351914,0.3421824230391944
0.0001656,0.343626324948751,0.0055030932490672,0.3407803073880767
0.0001741333333333,0.34447819626448,0.0083622023634674,0.33938964205120276
0.0001826666666666,0.342218959633112,0.0113462425542829,0.3380102873362398
0.0001912,0.335331751469691,0.0063484302085813,0.3366421058139555
0.0001997333333333,0.338366041716729,0.0085061216562081,0.3352849622726219
0.0002125333333333,0.331486849171931,0.0100441707398996,0.3332696527358195
0.0002296,0.330830162357585,0.0098804812474403,0.33061998232960593
0.0002466666666666,0.323099936045487,0.0100234941785175,0.3280121371063953
0.0002637333333333,0.325151928639018,0.0098395119389298,0.3254451345020877
0.0002808,0.324766103737355,0.008929857433984,0.32291802249023954
0.0002978666666666,0.327948012903495,0.007726618174276,0.3204298784047963
0.0003149333333333,0.317377497958504,0.0078624846887387,0.31797980781687046
0.000332,0.31368705517855,0.0110236109861292,0.31556694346281877
0.0003490666666666,0.310321650009271,0.0075305481868862,0.3131904442206571
0.0003661333333333,0.311003813133113,0.0075109556360692,0.310849494132412
0.0003832,0.305633959069687,0.0083520101001941,0.308543301470141
0.0004002666666666,0.305286811010182,0.010294324923649,0.3062710978431269
0.0004258666666666,0.3044449122379,0.0093700430352682,0.3029248961181595
0.00046,0.298894274293538,0.0065120663541734,0.2985754731739258
0.0004941333333333,0.292124693901843,0.0072666443278413,0.2943492614639297
0.0005282666666666,0.288052205101065,0.0077912913243064,0.2902410985839612
0.0005624,0.284002920068874,0.0092079611478018,0.2862461065555737
0.0005965333333333,0.279961360451168,0.0067540950368494,0.28235967250399857
0.0006306666666666,0.269983782545283,0.0069408179133611,0.2785774308899905
0.0006648,0.270562525140381,0.0092244449629134,0.27489524715192526
0.0006989333333333,0.268920097475481,0.0091309264191612,0.2713092026291751
0.0007330666666666,0.268012896686845,0.0080084918601057,0.2678155806510918
0.0007672,0.265406915902838,0.0094610215172639,0.2644108536879796
0.0008013333333333,0.259534934994369,0.008036736319906,0.26109167147057155
0.0008525333333333,0.254987430254291,0.0081683839409098,0.25626637247190936
0.0009208,0.245586454544114,0.0065502143073278,0.25010361243565066
0.0009890666666666,0.240993509671189,0.0077469757715389,0.24423052017903216
0.0010573333333333,0.235371191276752,0.008281320630521,0.2386271417964254
0.0011256,0.230398947558905,0.0077010978319435,0.2332753149570268
0.0011938666666666,0.226171593653089,0.0082271408160149,0.22815847224691474
0.0012621333333333,0.218904524604989,0.0076214559530901,0.22326146985877893
0.0013304,0.215158887749803,0.0065530604444674,0.21857043789790573
0.0013986666666666,0.210432237756548,0.0075664849382717,0.21407264918767077
0.0014669333333333,0.206787160861206,0.0067731983399874,0.20975640396117842
0.0015352,0.204997628111106,0.0073410110909317,0.20561092823926405
0.0016034666666666,0.200485669651679,0.0070460659070861,0.20162628403628904
0.0017058666666666,0.19512532591499,0.0067968152139303,0.19593098152114904
0.0018424,0.188159031462893,0.0051354804278443,0.18882003899077154
0.0019789333333333,0.181195544302535,0.0054557753875704,0.18220766791582732
0.0021154666666666,0.174589928930583,0.0055950093132098,0.17604320950813532
0.002252,0.167215073069994,0.0063048631055226,0.1702826432551791
0.0023885333333333,0.162622621331683,0.005640784170216,0.16488753407016649
0.0025250666666666,0.15738285081997,0.0055388243564759,0.15982417366334106
0.0026616,0.152350054712413,0.005811932245313,0.15506287558165682
0.0027981333333333,0.149398306178922,0.0042444181516825,0.15057739276051382
0.0029346666666666,0.144844308077462,0.0049966667867134,0.14634443344740264
0.0030712,0.143020601294741,0.0040779155073784,0.14234325664472083
0.0032077333333333,0.140243851690019,0.0036186606542512,0.1385553322381493
0.0034125333333333,0.13347645522926,0.0031001126713899,0.13323743328956741
0.0036856,0.128599496995668,0.0035498358819952,0.12675181784369174
0.0039586666666666,0.123432619180955,0.0028056376405176,0.12086916112811918
0.0042317333333333,0.115781821283337,0.0027186799904678,0.11550911376496681
0.0045048,0.112234379062073,0.0038854097164229,0.11060499551705201
0.0047778666666666,0.106833389013625,0.0040312735870587,0.10610100710520463
0.0050509333333333,0.101492243889332,0.0041156790655132,0.10195009774367231
0.005324,0.0971258434134656,0.003924186461906,0.09811231526762075
0.0055970666666666,0.0920393946751874,0.0041575657719549,0.09455351606749192
0.0058701333333333,0.0910266544110787,0.0048370040882901,0.09124434649578013
0.0061432,0.0887046250056704,0.0045500881965054,0.0881594313566295
0.0064162666666666,0.0861159346389475,0.0046385830285976,0.085276721970707
0.0068258666666666,0.0811041794103702,0.0045583672543985,0.08129034206888085
0.007372,0.0769412529201534,0.004144081986589,0.07652211579907348
0.0079181333333333,0.0731262502329717,0.0041184032073046,0.07228350657197974
0.0084642666666666,0.0696054877796519,0.0036245244101712,0.06849091843896025
0.0090104,0.0662693849978111,0.0044502760666956,0.06507746936173119
0.0095565333333333,0.061748224064099,0.0051556641363772,0.06198901290667678
0.0101026666666667,0.0595286400824335,0.0053896675675051,0.05918124462014871
0.0106488,0.0563233797593015,0.006097365263108,0.05661756305511305
0.0111949333333333,0.053970195639087,0.0061091574867531,0.054267465400408624
0.0117410666666667,0.0500650268108065,0.0060850849263308,0.05210532806171331
0.0122872,0.0475394863606486,0.0068740570182741,0.05010946857854485
0.0128333333333333,0.0470853211180922,0.007081911258682,0.04826141595538335
0.0136525333333333,0.0462628143900659,0.0065001998579708,0.045732447951255556
0.0147448,0.0424720830379683,0.0066689281068371,0.04274735640662427
0.0158370666666667,0.0402242771993864,0.0059087493384187,0.04012958934399249
0.0169293333333333,0.0377410752117238,0.0061229088286299,0.03781527594022101
0.0180216,0.0389734961679999,0.006060516860051,0.03575454203418224
0.0191138666666667,0.0378987113792499,0.006011520478044,0.03390787522657386
0.0202061333333333,0.0389130329115419,0.0063651889333398,0.032243566819224107
0.0212984,0.0383927823937782,0.0058739038016504,0.030735875923012416
0.0223906666666667,0.0366096032440131,0.0058452205219969,0.029363688567541086
0.0234829333333333,0.0349579468460739,0.0060611028642803,0.028109522800014372
0.0245752,0.0311133978359679,0.006801351065387,0.026958779913160424
